Timestamp,Score,Model,Note,Params,Feature_Count,Feature_List
2026-01-02 20:22:30,33.22569281065791,XGBoost_Optuna_Regularized,修正過擬合：限制 Optuna 樹深 (max_depth 3-6) 並加入正則化 (L1/L2)，解決 Local 34 但 Public 39 的落差 | 結果分數: 33.2257,,24,"['1101_close', '2327_close', '2352_close', '2385_close', '2449_close', '2915_close', '3005_close', '3532_close', '6176_close', '9945_close', 'Date_Int', 'Day_Mod_5', 'Day_Mod_20', 'Day_Mod_60', 'Sin_Week', 'Cos_Week', 'Sin_Month', 'Cos_Month', '2352_close_Return', '2352_close_Bias', '9945_close_Return', '9945_close_Bias', '1101_close_Return', '1101_close_Bias']"
2026-01-02 20:30:58,35.651409667566305,XGBoost_Optuna_Regularized,過擬合設定 | 結果分數: 35.6514,,24,"['1101_close', '2327_close', '2352_close', '2385_close', '2449_close', '2915_close', '3005_close', '3532_close', '6176_close', '9945_close', 'Date_Int', 'Day_Mod_5', 'Day_Mod_20', 'Day_Mod_60', 'Sin_Week', 'Cos_Week', 'Sin_Month', 'Cos_Month', '2352_close_Return', '2352_close_Bias', '9945_close_Return', '9945_close_Bias', '1101_close_Return', '1101_close_Bias']"
2026-01-02 20:35:42,36.58347080243716,XGBoost_Optuna_Regularized,過擬合設定 | 結果分數: 36.5835,,24,"['1101_close', '2327_close', '2352_close', '2385_close', '2449_close', '2915_close', '3005_close', '3532_close', '6176_close', '9945_close', 'Date_Int', 'Day_Mod_5', 'Day_Mod_20', 'Day_Mod_60', 'Sin_Week', 'Cos_Week', 'Sin_Month', 'Cos_Month', '2352_close_Return', '2352_close_Bias', '9945_close_Return', '9945_close_Bias', '1101_close_Return', '1101_close_Bias']"
2026-01-03 14:07:00,35.50176570317046,XGBoost_Optuna_Regularized,過擬合設定 | 結果分數: 35.5018 | 耗時: 1.40min,,24,"['1101_close', '2327_close', '2352_close', '2385_close', '2449_close', '2915_close', '3005_close', '3532_close', '6176_close', '9945_close', 'Date_Int', 'Day_Mod_5', 'Day_Mod_20', 'Day_Mod_60', 'Sin_Week', 'Cos_Week', 'Sin_Month', 'Cos_Month', '2352_close_Return', '2352_close_Bias', '9945_close_Return', '9945_close_Bias', '1101_close_Return', '1101_close_Bias']"
2026-01-03 14:41:42,36.081886653853275,XGBoost_Optuna_Regularized,過擬合設定 | 結果分數: 36.0819 | 耗時: 1.28min,,24,"['1101_close', '2327_close', '2352_close', '2385_close', '2449_close', '2915_close', '3005_close', '3532_close', '6176_close', '9945_close', 'Date_Int', 'Day_Mod_5', 'Day_Mod_20', 'Day_Mod_60', 'Sin_Week', 'Cos_Week', 'Sin_Month', 'Cos_Month', '2352_close_Return', '2352_close_Bias', '9945_close_Return', '9945_close_Bias', '1101_close_Return', '1101_close_Bias']"
2026-01-03 15:20:37,33.16176294587298,XGBoost_Optuna,XGBoost + Optuna 20 trials + 完整視覺化歸檔 | 耗時: 0.09m,,24,"['1101_close', '2327_close', '2352_close', '2385_close', '2449_close', '2915_close', '3005_close', '3532_close', '6176_close', '9945_close', 'Date_Int', 'Day_Mod_5', 'Day_Mod_20', 'Day_Mod_60', 'Sin_Week', 'Cos_Week', 'Sin_Month', 'Cos_Month', '2352_close_Return', '2352_close_Bias', '9945_close_Return', '9945_close_Bias', '1101_close_Return', '1101_close_Bias']"
2026-01-03 15:23:06,36.508709251559445,XGBoost_Optuna_Regularized,過擬合設定 | 結果分數: 36.5087 | 耗時: 1.58min,,24,"['1101_close', '2327_close', '2352_close', '2385_close', '2449_close', '2915_close', '3005_close', '3532_close', '6176_close', '9945_close', 'Date_Int', 'Day_Mod_5', 'Day_Mod_20', 'Day_Mod_60', 'Sin_Week', 'Cos_Week', 'Sin_Month', 'Cos_Month', '2352_close_Return', '2352_close_Bias', '9945_close_Return', '9945_close_Bias', '1101_close_Return', '1101_close_Bias']"
2026-01-03 15:32:40,33.16176294587298,XGBoost_Optuna,XGBoost + Optuna 20 trials + 完整視覺化歸檔 | 耗時: 0.09m,,24,"['1101_close', '2327_close', '2352_close', '2385_close', '2449_close', '2915_close', '3005_close', '3532_close', '6176_close', '9945_close', 'Date_Int', 'Day_Mod_5', 'Day_Mod_20', 'Day_Mod_60', 'Sin_Week', 'Cos_Week', 'Sin_Month', 'Cos_Month', '2352_close_Return', '2352_close_Bias', '9945_close_Return', '9945_close_Bias', '1101_close_Return', '1101_close_Bias']"
2026-01-03 15:33:04,33.16176294587298,XGBoost_Optuna,XGBoost + Optuna 20 trials + 完整視覺化歸檔 | 耗時: 0.10m,,24,"['1101_close', '2327_close', '2352_close', '2385_close', '2449_close', '2915_close', '3005_close', '3532_close', '6176_close', '9945_close', 'Date_Int', 'Day_Mod_5', 'Day_Mod_20', 'Day_Mod_60', 'Sin_Week', 'Cos_Week', 'Sin_Month', 'Cos_Month', '2352_close_Return', '2352_close_Bias', '9945_close_Return', '9945_close_Bias', '1101_close_Return', '1101_close_Bias']"
2026-01-03 15:35:20,33.16176294587298,XGBoost_Optuna,XGBoost + Optuna 20 trials + 完整視覺化歸檔 | 耗時: 0.09m,,24,"['1101_close', '2327_close', '2352_close', '2385_close', '2449_close', '2915_close', '3005_close', '3532_close', '6176_close', '9945_close', 'Date_Int', 'Day_Mod_5', 'Day_Mod_20', 'Day_Mod_60', 'Sin_Week', 'Cos_Week', 'Sin_Month', 'Cos_Month', '2352_close_Return', '2352_close_Bias', '9945_close_Return', '9945_close_Bias', '1101_close_Return', '1101_close_Bias']"
2026-01-03 16:04:39,33.99426723990871,XGBoost_Optuna_Regularized,過擬合設定 | 結果分數: 33.9943 | 耗時: 1.43min,,24,"['1101_close', '2327_close', '2352_close', '2385_close', '2449_close', '2915_close', '3005_close', '3532_close', '6176_close', '9945_close', 'Date_Int', 'Day_Mod_5', 'Day_Mod_20', 'Day_Mod_60', 'Sin_Week', 'Cos_Week', 'Sin_Month', 'Cos_Month', '2352_close_Return', '2352_close_Bias', '9945_close_Return', '9945_close_Bias', '1101_close_Return', '1101_close_Bias']"
2026-01-03 16:22:05,5.085505614292618,XGBoost_Diff_Predictor,改為預測漲跌幅 Diff | 結果分數: 5.0855 | 耗時: 0.72min,,24,"['1101_close', '2327_close', '2352_close', '2385_close', '2449_close', '2915_close', '3005_close', '3532_close', '6176_close', '9945_close', 'Date_Int', 'Day_Mod_5', 'Day_Mod_20', 'Day_Mod_60', 'Sin_Week', 'Cos_Week', 'Sin_Month', 'Cos_Month', '2352_close_Return', '2352_close_Bias', '9945_close_Return', '9945_close_Bias', '1101_close_Return', '1101_close_Bias']"
2026-01-03 16:24:12,5.879588924556625,XGBoost_Diff_Predictor,改為預測漲跌幅 Diff | 結果分數: 5.8796 | 耗時: 0.78min,,24,"['1101_close', '2327_close', '2352_close', '2385_close', '2449_close', '2915_close', '3005_close', '3532_close', '6176_close', '9945_close', 'Date_Int', 'Day_Mod_5', 'Day_Mod_20', 'Day_Mod_60', 'Sin_Week', 'Cos_Week', 'Sin_Month', 'Cos_Month', '2352_close_Return', '2352_close_Bias', '9945_close_Return', '9945_close_Bias', '1101_close_Return', '1101_close_Bias']"
2026-01-03 16:30:07,5.3375724693476245,XGBoost_Diff_Predictor,改為預測漲跌幅 Diff | 結果分數: 5.3376 | 耗時: 0.79min,,24,"['1101_close', '2327_close', '2352_close', '2385_close', '2449_close', '2915_close', '3005_close', '3532_close', '6176_close', '9945_close', 'Date_Int', 'Day_Mod_5', 'Day_Mod_20', 'Day_Mod_60', 'Sin_Week', 'Cos_Week', 'Sin_Month', 'Cos_Month', '2352_close_Return', '2352_close_Bias', '9945_close_Return', '9945_close_Bias', '1101_close_Return', '1101_close_Bias']"
2026-01-03 16:33:30,5.632100324128913,XGBoost_Diff_Predictor,改為預測漲跌幅 Diff | 結果分數: 5.6321 | 耗時: 0.81min,,24,"['1101_close', '2327_close', '2352_close', '2385_close', '2449_close', '2915_close', '3005_close', '3532_close', '6176_close', '9945_close', 'Date_Int', 'Day_Mod_5', 'Day_Mod_20', 'Day_Mod_60', 'Sin_Week', 'Cos_Week', 'Sin_Month', 'Cos_Month', '2352_close_Return', '2352_close_Bias', '9945_close_Return', '9945_close_Bias', '1101_close_Return', '1101_close_Bias']"
